Entity,Year,Mean BMI (male),Year,Mean BMI (female),Year,Daily caloric intake per person from fat,Daily caloric intake per person from carbohydrates
Afghanistan,2016.0,22.68245614,2016.0,24.23413457,,,
Albania,2016.0,27.17447081,2016.0,26.50751203,,,
Algeria,2016.0,24.86538555,2016.0,26.56116565,,,
American Samoa,2016.0,33.0667207,2016.0,35.14886463,,,
Andorra,2016.0,27.47839497,2016.0,26.27166071,,,
Angola,2016.0,22.43653817,2016.0,24.37650146,,,
Antigua and Barbuda,2016.0,25.82569643,2016.0,27.96185992,,,
Argentina,2016.0,28.01768234,2016.0,27.79858856,,,
Armenia,2016.0,25.74388941,2016.0,27.19451321,,,
Australia,2016.0,27.71849093,2016.0,26.87308177,,,
Austria,2016.0,26.67288696,2016.0,24.74923974,,,
Azerbaijan,2016.0,26.24688161,2016.0,28.15375814,,,
Bahamas,2016.0,27.28640266,2016.0,29.0596084,,,
Bahrain,2016.0,24.895558,2016.0,24.79195613,,,
Bangladesh,2016.0,21.40108169,2016.0,22.05260608,,,
Barbados,2016.0,26.51546778,2016.0,29.41101997,,,
Belarus,2016.0,26.629948,2016.0,26.91237453,,,
Belgium,2016.0,26.8013405,2016.0,25.74971353,,,
Belize,2016.0,27.63242364,2016.0,30.75287977,,,
Benin,2016.0,22.66670723,2016.0,24.57959394,,,
Bermuda,2016.0,27.73477278,2016.0,29.42757663,,,
Bhutan,2016.0,23.59475588,2016.0,24.56664292,,,
Bolivia,2016.0,25.42187349,2016.0,27.92672885,,,
Bosnia and Herzegovina,2016.0,26.53071356,2016.0,25.34013918,,,
Botswana,2016.0,22.63366824,2016.0,26.29687711,,,
Brazil,2016.0,26.47157714,2016.0,27.03856248,,,
Brunei,2016.0,27.31810115,2016.0,27.33141526,,,
Bulgaria,2016.0,27.32226907,2016.0,25.93015482,,,
Burkina Faso,2016.0,22.25253512,2016.0,22.1477769,,,
Burundi,2016.0,21.85867709,2016.0,21.60407468,,,
Cambodia,2016.0,22.15405293,2016.0,22.38762001,,,
Cameroon,2016.0,23.65643975,2016.0,25.22671897,,,
Canada,2016.0,27.45423618,2016.0,26.76370753,,,
Cape Verde,2016.0,23.80060003,2016.0,25.42787529,,,
Central African Republic,2016.0,22.07918352,2016.0,23.78232058,,,
"Central Asia, Middle East and North Africa",2016.0,26.72445658,2016.0,28.46213527,,,
Central and Eastern Europe,2016.0,26.79068196,2016.0,26.53562216,,,
Chad,2016.0,22.05057441,2016.0,21.97868164,,,
Chile,2016.0,27.99180302,2016.0,28.34360496,,,
China,2016.0,24.27643908,2016.0,23.59199764,,,
Colombia,2016.0,25.990732,2016.0,26.75453166,,,
Comoros,2016.0,23.36117402,2016.0,25.76026031,,,
Congo,2016.0,22.39378052,2016.0,24.22026121,,,
Cook Islands,2016.0,32.85587073,2016.0,33.36277822,,,
Costa Rica,2016.0,26.9095007,2016.0,28.10500815,,,
Cote d'Ivoire,2016.0,23.47829494,2016.0,24.24784698,,,
Croatia,2016.0,28.1976285,2016.0,27.03333448,,,
Cuba,2016.0,25.37309739,2016.0,26.20142057,,,
Cyprus,2016.0,27.73522915,2016.0,26.22650471,,,
Czechia,2016.0,28.18887918,2016.0,26.43610997,,,
Democratic Republic of Congo,2016.0,21.44356804,2016.0,22.70869215,,,
Denmark,2016.0,26.27862334,2016.0,24.55769869,,,
Djibouti,2016.0,23.50601857,2016.0,24.75441969,,,
Dominica,2016.0,25.07841251,2016.0,29.21841194,,,
Dominican Republic,2016.0,25.68938691,2016.0,27.56382371,,,
East Timor,2016.0,21.35808968,2016.0,21.37075683,,,
East and South East Asia,2016.0,23.91034526,2016.0,23.66621471,,,
Ecuador,2016.0,26.76872095,2016.0,28.0662789,,,
Egypt,2016.0,27.93033859,2016.0,31.69788414,,,
El Salvador,2016.0,26.97990172,2016.0,28.50102418,,,
Equatorial Guinea,2016.0,22.39304404,2016.0,26.02097699,,,
Eritrea,2016.0,20.31894138,2016.0,21.17645978,,,
